Species,Phonotypes,RMSE.A,Res.B
45,5,22.16868991,0.704276912
46,5,22.74906116,0.70366573
47,5,23.3243643,0.709726854
48,5,23.89649723,0.710159126
49,5,24.469941,0.71291529
50,5,25.03989871,0.716461307
6,6,0,0
7,6,0.5546292,0.121655875
8,6,1.023441521,0.200331472
9,6,1.515069044,0.257132081
10,6,2.023512613,0.300589365
11,6,2.539848943,0.335826135
12,6,3.072086762,0.363142872
13,6,3.603661533,0.38803045
14,6,4.139280316,0.410008179
15,6,4.689340347,0.425745166
16,6,5.233292959,0.443093681
17,6,5.787087649,0.456693376
18,6,6.330507662,0.470538616
19,6,6.889510752,0.482894195
20,6,7.45314968,0.490463522
21,6,7.997671295,0.505031556
22,6,8.564319017,0.51158485
23,6,9.126036169,0.519079035
24,6,9.680028443,0.528585692
25,6,10.23932252,0.535880458
26,6,10.79773046,0.543131921
27,6,11.36500901,0.55026096
28,6,11.92240645,0.557959079
29,6,12.48888751,0.564123393
30,6,13.05002901,0.569746242
31,6,13.61489213,0.575658005
32,6,14.20323364,0.578055001
33,6,14.76299107,0.582568675
34,6,15.32327023,0.588607628
35,6,15.88051013,0.594887907
36,6,16.46247316,0.595472207
37,6,17.01603605,0.601958274
38,6,17.59526155,0.606956202
39,6,18.1681355,0.608939317
40,6,18.71867938,0.613496346
41,6,19.2942902,0.61733553
42,6,19.87047376,0.621154279
43,6,20.40892799,0.627523056
44,6,21.01617525,0.628308886
45,6,21.58004309,0.629123563
46,6,22.13794969,0.635090341
47,6,22.71806348,0.635431398
48,6,23.2911648,0.638929578
49,6,23.8517426,0.640637405
50,6,24.4222488,0.646329262
7,7,0,0
8,7,0.557878374,0.103121595
9,7,1.028344096,0.172135896
10,7,1.521220473,0.22293377
11,7,2.030515206,0.261296362
12,7,2.551139477,0.292490471
13,7,3.073966837,0.319748121
14,7,3.604782899,0.343428824
15,7,4.142840267,0.362554931
16,7,4.690859777,0.377502372
17,7,5.235630892,0.393132943
18,7,5.792395857,0.404164651
19,7,6.332320286,0.418012655
20,7,6.895304856,0.427929293
21,7,7.448092233,0.439024457
